title,Author,ASIN,PublicationDate,Eigenvector Centrality
How We Think: Digital Media and Contemporary Technogenesis,N. Katherine Hayles,0226321428,2012-06-05,0.0
Debates in the Digital Humanities,Matthew K. Gold (ed),0816677956,2012-01-09,1.0
The Interface Effect,Alexander R. Galloway,0745662536,2013-01-22,0.16467846578486384
Digital_Humanities,"Anne Burdick, Johanna Drucker, Peter Lunenfeld, Todd Presner, Jeffrey Schnapp",0262018470,2012-11-16,0.9105414928699089
Understanding Digital Humanities,David M. Berry (ed),0230292658,2012-03-15,0.9700538416277751
"Alien Phenomenology, or What It&quot;s Like to Be a Thing (Posthumanities)",Ian Bogost,0816678987,2012-03-19,0.30704382590295937
Book Was There: Reading in Electronic Times,Andrew Piper,0226669785,2012-10-18,0.13890854445167194
Digital Memory and the Archive (Electronic Mediations),Wolfgang Ernst,0816677670,2012-12-27,0.031239411952383896
"How We Became Posthuman: Virtual Bodies in Cybernetics, Literature, and Informatics",N. Katherine Hayles,0226321460,1999-02-15,0.03453437986844659
What is Media Archaeology,Jussi Parikka,0745650260,2012-06-11,0.007869963481635057
Switching Codes: Thinking Through Digital Technology in the Humanities and the Arts,"Thomas Bartscherer,Roderick Coover (eds)",0226038319,2011-05-30,0.504878337795877
Reading Machines: Toward an Algorithmic Criticism (Topics in the Digital Humanities),Stephen Ramsay,0252078209,2011-11-30,0.9700538416277751
"Graphs, Maps, Trees: Abstract Models for Literary History",Franco Moretti,1844671852,2007-09-17,0.9700538416277751
A Companion to Digital Humanities (Blackwell Companions to Literature and Culture),"Susan Schreibman,Ray Siemens,John Unsworth (eds)",1405168064,2008-03-11,0.6266511305255261
"Planned Obsolescence: Publishing, Technology, and the Future of the Academy",Kathleen Fitzpatrick,0814727883,2011-11-01,0.7042306582087101
Radiant Textuality: Literature after the World Wide Web,Jerome McGann,140396436X,2004-01-03,0.6845277802632503
"Telesthesia: Communication, Culture & Class",McKenzie Wark,0745653995,2012-09-11,0.0
"MP3: The Meaning of a Format (Sign, Storage, Transmission)",Jonathan Sterne,0822352877,2012-07-17,0.03910937543401894
Coding Freedom: The Ethics and Aesthetics of Hacking,E. Gabriella Coleman,0691144613,2012-11-12,0.048100617665244955
Gaming: Essays On Algorithmic Culture (Electronic Mediations),Alexander R. Galloway,0816648514,2006-05-27,0.0
Speaking Code: Coding as Aesthetic and Political Expression (Software Studies),"Geoff Cox, Alex McLean",0262018365,2012-11-09,0.05597058114687998
