Id,Label,title,Author,ASIN,SalesRank,Publisher,PublicationDate,ProductGroup,ProductTypeName,Language,ListPrice,FormattedPrice,CurrencyCode,TotalUsed,NumberOfPages,ISBN,image,HasReviews,seedNode,crawlDepth,Time Interval
n-b3182ad279a53a4ad4fc5c1b44b47838,How We Think: Digital Media and Contemporary Technogenesis by N. Katherine Hayles,How We Think: Digital Media and Contemporary Technogenesis,N. Katherine Hayles,0226321428,420671,University Of Chicago Press,2012-06-05,Book,ABIS_BOOK,English,2500,$25.00,USD,13,296,0226321428,http://ecx.images-amazon.com/images/I/51cq%2BKNuVOL._SL75_.jpg,false,false,1,"<[1.3388472E12, 1.3388472E12]>"
n-4a4725026639e5b052dda63aa73e243c,Debates in the Digital Humanities by Matthew K. Gold (ed),Debates in the Digital Humanities,Matthew K. Gold (ed),0816677956,82518,Univ Of Minnesota Press,2012-01-09,Book,ABIS_BOOK,English,3495,$34.95,USD,22,504,0816677956,http://ecx.images-amazon.com/images/I/51XTdUBPWEL._SL75_.jpg,false,,1,"<[1.3260636E12, 1.3260636E12]>"
n-ef14d5cb52a89ac38a6e4f0b21839d08,The Interface Effect by Alexander R. Galloway,The Interface Effect,Alexander R. Galloway,0745662536,118994,Polity,2013-01-22,Book,ABIS_BOOK,English,1995,$19.95,USD,6,200,0745662536,http://ecx.images-amazon.com/images/I/41KU4M1ifiL._SL75_.jpg,,,2,"<[1.3588092E12, 1.3588092E12]>"
n-84ec55497e8cdf9de304985fc0857f69,"Digital_Humanities by Anne Burdick, Johanna Drucker, Peter Lunenfeld, Todd Presner, Jeffrey Schnapp",Digital_Humanities,"Anne Burdick, Johanna Drucker, Peter Lunenfeld, Todd Presner, Jeffrey Schnapp",0262018470,43237,The MIT Press,2012-11-16,Book,ABIS_BOOK,English,2495,$24.95,USD,9,152,0262018470,http://ecx.images-amazon.com/images/I/41gjnnJ7xmL._SL75_.jpg,false,false,1,"<[1.3530204E12, 1.3530204E12]>"
n-824857fef57c56987ea62f89a5dc86d8,Understanding Digital Humanities by David M. Berry (ed),Understanding Digital Humanities,David M. Berry (ed),0230292658,249312,Palgrave Macmillan,2012-03-15,Book,ABIS_BOOK,English,3000,$30.00,USD,13,336,0230292658,http://ecx.images-amazon.com/images/I/51cS-ASy9aL._SL75_.jpg,,false,1,"<[1.331766E12, 1.331766E12]>"
n-9f7fb68b474da60d1b3111cea989f455,"Alien Phenomenology, or What It&quot;s Like to Be a Thing (Posthumanities) by Ian Bogost","Alien Phenomenology, or What It&quot;s Like to Be a Thing (Posthumanities)",Ian Bogost,0816678987,57073,Univ Of Minnesota Press,2012-03-19,Book,ABIS_BOOK,English,1995,$19.95,USD,18,168,0816678987,http://ecx.images-amazon.com/images/I/41mH8gESzOL._SL75_.jpg,false,,2,"<[1.3321116E12, 1.3321116E12]>"
n-9e36b1ba31361c3f77e476ad2589a55c,Book Was There: Reading in Electronic Times by Andrew Piper,Book Was There: Reading in Electronic Times,Andrew Piper,0226669785,59615,University Of Chicago Press,2012-10-18,Book,ABIS_BOOK,English,2250,$22.50,USD,16,208,0226669785,http://ecx.images-amazon.com/images/I/41LkwAWdYCL._SL75_.jpg,false,,2,"<[1.3505112E12, 1.3505112E12]>"
n-29135d27a490ef3c39dea7ec24f4eb72,Digital Memory and the Archive (Electronic Mediations) by Wolfgang Ernst,Digital Memory and the Archive (Electronic Mediations),Wolfgang Ernst,0816677670,65408,Univ Of Minnesota Press,2012-12-27,Book,ABIS_BOOK,English,2500,$25.00,USD,4,256,0816677670,http://ecx.images-amazon.com/images/I/61dQMGl7D5L._SL75_.jpg,,,2,"<[1.3565628E12, 1.3565628E12]>"
n-8e110c10f53ebfc0a08100e38421649c,"How We Became Posthuman: Virtual Bodies in Cybernetics, Literature, and Informatics by N. Katherine Hayles","How We Became Posthuman: Virtual Bodies in Cybernetics, Literature, and Informatics",N. Katherine Hayles,0226321460,28296,University Of Chicago Press,1999-02-15,Book,ABIS_BOOK,English,2250,$22.50,USD,25,364,0226321460,http://ecx.images-amazon.com/images/I/51KiFxiV32L._SL75_.jpg,false,,2,"<[9.190332E11, 9.190332E11]>"
n-bb534f0d741ab7e6809cc9db989faa3b,What is Media Archaeology by Jussi Parikka,What is Media Archaeology,Jussi Parikka,0745650260,162188,Polity,2012-06-11,Book,ABIS_BOOK,English,2495,$24.95,USD,14,200,0745650260,http://ecx.images-amazon.com/images/I/51Qlf7pN2%2BL._SL75_.jpg,false,,2,"<[1.3393656E12, 1.3393656E12]>"
n-0213e3189bd05fd8b07214467b6880ef,"Switching Codes: Thinking Through Digital Technology in the Humanities and the Arts by Thomas Bartscherer,Roderick Coover (eds)",Switching Codes: Thinking Through Digital Technology in the Humanities and the Arts,"Thomas Bartscherer,Roderick Coover (eds)",0226038319,868755,University Of Chicago Press,2011-05-30,Book,ABIS_BOOK,English,3000,$30.00,USD,24,448,0226038319,http://ecx.images-amazon.com/images/I/512D8H0XgML._SL75_.jpg,,,2,"<[1.3067064E12, 1.3067064E12]>"
n-b83ecdd7a1728e72ec04685f7e925ac0,Reading Machines: Toward an Algorithmic Criticism (Topics in the Digital Humanities) by Stephen Ramsay,Reading Machines: Toward an Algorithmic Criticism (Topics in the Digital Humanities),Stephen Ramsay,0252078209,81471,University of Illinois Press,2011-11-30,Book,ABIS_BOOK,English,2500,$25.00,USD,16,112,0252078209,http://ecx.images-amazon.com/images/I/51lhGV9CP8L._SL75_.jpg,false,false,1,"<[1.3226076E12, 1.3226076E12]>"
n-6b36d96e95cf935cfea1f45ff488c782,"Graphs, Maps, Trees: Abstract Models for Literary History by Franco Moretti","Graphs, Maps, Trees: Abstract Models for Literary History",Franco Moretti,1844671852,71802,Verso,2007-09-17,Book,ABIS_BOOK,English,1995,$19.95,USD,23,119,1844671852,http://ecx.images-amazon.com/images/I/51oaOpZio6L._SL75_.jpg,false,,1,"<[1.18998E12, 1.18998E12]>"
n-30dc0eb76109b0ac4e0fdfe2ea0cb7fd,"A Companion to Digital Humanities (Blackwell Companions to Literature and Culture) by Susan Schreibman,Ray Siemens,John Unsworth (eds)",A Companion to Digital Humanities (Blackwell Companions to Literature and Culture),"Susan Schreibman,Ray Siemens,John Unsworth (eds)",1405168064,879297,Wiley-Blackwell,2008-03-11,Book,ABIS_BOOK,English,5495,$54.95,USD,26,640,1405168064,http://ecx.images-amazon.com/images/I/41TU%2BOxxGVL._SL75_.jpg,,,2,"<[1.20519E12, 1.20519E12]>"
n-21a3670ac6ad6113ae3dac1c2c9a5e8e,"Planned Obsolescence: Publishing, Technology, and the Future of the Academy by Kathleen Fitzpatrick","Planned Obsolescence: Publishing, Technology, and the Future of the Academy",Kathleen Fitzpatrick,0814727883,126995,NYU Press,2011-11-01,Book,ABIS_BOOK,English,2300,$23.00,USD,9,256,0814727883,http://ecx.images-amazon.com/images/I/41uugiMAoTL._SL75_.jpg,false,,2,"<[1.320102E12, 1.320102E12]>"
n-98060958e701567f6042eb6e1ee6b6b9,Radiant Textuality: Literature after the World Wide Web by Jerome McGann,Radiant Textuality: Literature after the World Wide Web,Jerome McGann,140396436X,339009,Palgrave Macmillan,2004-01-03,Book,ABIS_BOOK,English,3400,$34.00,USD,18,288,140396436X,http://ecx.images-amazon.com/images/I/517DujXHPXL._SL75_.jpg,false,,2,"<[1.0730844E12, 1.0730844E12]>"
n-9a6bd100dc8277bcbe86de2b5c3b54c6,"Telesthesia: Communication, Culture & Class by McKenzie Wark","Telesthesia: Communication, Culture & Class",McKenzie Wark,0745653995,130198,Polity,2012-09-11,Book,ABIS_BOOK,English,1995,$19.95,USD,8,224,0745653995,http://ecx.images-amazon.com/images/I/31mCEET-FcL._SL75_.jpg,,,2,"<[1.3473144E12, 1.3473144E12]>"
n-0f78f132f619ea84f5a90b306010bbaa,"MP3: The Meaning of a Format (Sign, Storage, Transmission) by Jonathan Sterne","MP3: The Meaning of a Format (Sign, Storage, Transmission)",Jonathan Sterne,0822352877,85481,Duke University Press Books,2012-07-17,Book,ABIS_BOOK,English,2495,$24.95,USD,13,360,0822352877,http://ecx.images-amazon.com/images/I/51hDTaSdlQL._SL75_.jpg,false,,2,"<[1.342476E12, 1.342476E12]>"
n-dd006d9834236e6266d3c1104f6561a1,Coding Freedom: The Ethics and Aesthetics of Hacking by E. Gabriella Coleman,Coding Freedom: The Ethics and Aesthetics of Hacking,E. Gabriella Coleman,0691144613,11442,Princeton University Press,2012-11-12,Book,ABIS_BOOK,English,2495,$24.95,USD,5,264,0691144613,http://ecx.images-amazon.com/images/I/41OvoAd0XNL._SL75_.jpg,false,,2,"<[1.3526748E12, 1.3526748E12]>"
n-46ed18de05b1a8818a8cd7c4c64dd1c5,Gaming: Essays On Algorithmic Culture (Electronic Mediations) by Alexander R. Galloway,Gaming: Essays On Algorithmic Culture (Electronic Mediations),Alexander R. Galloway,0816648514,190544,Univ Of Minnesota Press,2006-05-27,Book,ABIS_BOOK,English,1795,$17.95,USD,25,160,0816648514,http://ecx.images-amazon.com/images/I/418Z698NB5L._SL75_.jpg,false,,2,"<[1.1486808E12, 1.1486808E12]>"
n-b808566e7beca578290013466bc829e5,"Speaking Code: Coding as Aesthetic and Political Expression (Software Studies) by Geoff Cox, Alex McLean",Speaking Code: Coding as Aesthetic and Political Expression (Software Studies),"Geoff Cox, Alex McLean",0262018365,635609,The MIT Press,2012-11-09,Book,ABIS_BOOK,English,3000,$30.00,USD,9,168,0262018365,http://ecx.images-amazon.com/images/I/51CTGJhGEVL._SL75_.jpg,,,2,"<[1.3524156E12, 1.3524156E12]>"
n-beaa20e417dd228c02bb2aed4bb1b29c,Gilbert Simondon and the Philosophy of the Transindividual (Technologies of Lived Abstraction) by Muriel Combes,Gilbert Simondon and the Philosophy of the Transindividual (Technologies of Lived Abstraction),Muriel Combes,0262018187,459603,The MIT Press,2012-10-12,Book,ABIS_BOOK,English,2700,$27.00,USD,11,144,0262018187,http://ecx.images-amazon.com/images/I/41FfLJxOrJL._SL75_.jpg,,,2,"<[1.3499928E12, 1.3499928E12]>"
n-7b06dbe09de2dda81f36535a06238eb6,Digital Labor: The Internet as Playground and Factory by Trebor Scholz (ed),Digital Labor: The Internet as Playground and Factory,Trebor Scholz (ed),0415896959,134911,Routledge,2012-09-21,Book,ABIS_BOOK,English,3795,$37.95,USD,12,272,0415896959,http://ecx.images-amazon.com/images/I/41V1%2BPYnkNL._SL75_.jpg,false,,2,"<[1.3481784E12, 1.3481784E12]>"
n-5fad4b58530069c71a52db3843e0962d,Networks of Outrage and Hope: Social Movements in the Internet Age by Manuel Castells,Networks of Outrage and Hope: Social Movements in the Internet Age,Manuel Castells,0745662854,4654,Polity,2012-09-04,Book,ABIS_BOOK,English,1495,$14.95,USD,7,200,0745662854,http://ecx.images-amazon.com/images/I/51SK7ZSSbCL._SL75_.jpg,false,,2,"<[1.3467096E12, 1.3467096E12]>"
n-f336b31509971a49ffec6901537a6f68,"10 PRINT CHR$(205.5+RND(1)); : GOTO 10 (Software Studies) by Nick Montfort, Patsy Baudoin, John Bell, Ian Bogost, Jeremy Douglass, Mark C. Marino, Michael Mateas, Casey Reas, Mark Sample, Noah Vawter",10 PRINT CHR$(205.5+RND(1)); : GOTO 10 (Software Studies),"Nick Montfort, Patsy Baudoin, John Bell, Ian Bogost, Jeremy Douglass, Mark C. Marino, Michael Mateas, Casey Reas, Mark Sample, Noah Vawter",0262018462,70099,The MIT Press,2012-11-16,Book,ABIS_BOOK,English,3000,$30.00,USD,12,328,0262018462,http://ecx.images-amazon.com/images/I/61whD8baZDL._SL75_.jpg,false,,2,"<[1.3530204E12, 1.3530204E12]>"
n-c9834eb323f16ae3237b0551dfb23808,Electronic Literature: New Horizons for the Literary (WARD PHILLIPS LECTUR) by N. Katherine Hayles,Electronic Literature: New Horizons for the Literary (WARD PHILLIPS LECTUR),N. Katherine Hayles,0268030855,156546,University of Notre Dame Press,2008-03-01,Book,ABIS_BOOK,English,2000,$20.00,USD,37,192,0268030855,http://ecx.images-amazon.com/images/I/41b4di6FvLL._SL75_.jpg,false,,2,"<[1.204326E12, 1.204326E12]>"
n-f4235a47d131fdf30131812e715f6c81,The Democracy of Objects by Levi R. Bryant,The Democracy of Objects,Levi R. Bryant,1607852047,98235,"MPublishing, University of Michigan Library",2011-10-31,Book,ABIS_BOOK,English,2399,$23.99,USD,,316,1607852047,http://ecx.images-amazon.com/images/I/41pO1gBo4WL._SL75_.jpg,false,,2,"<[1.3200156E12, 1.3200156E12]>"
n-59a1a586f2629258a35fc0c101152443,The Quadruple Object by Graham Harman,The Quadruple Object,Graham Harman,1846947006,157328,Zero Books,2011-07-16,Book,ABIS_BOOK,English,1695,$16.95,USD,9,157,1846947006,http://ecx.images-amazon.com/images/I/41xdRisoKQL._SL75_.jpg,false,,2,"<[1.3107672E12, 1.3107672E12]>"
n-631729a006c499ef3be2997431989aeb,Vibrant Matter: A Political Ecology of Things (a John Hope Franklin Center Book) by Jane Bennett,Vibrant Matter: A Political Ecology of Things (a John Hope Franklin Center Book),Jane Bennett,0822346338,37965,Duke University Press Books,2010-01-04,Book,ABIS_BOOK,English,2195,$21.95,USD,17,200,0822346338,http://ecx.images-amazon.com/images/I/41tnu-MyFlL._SL75_.jpg,false,,2,"<[1.2625596E12, 1.2625596E12]>"
n-96e80935aa23dd6437246e2a7db792dc,After Finitude: An Essay on the Necessity of Contingency by Quentin Meillassoux,After Finitude: An Essay on the Necessity of Contingency,Quentin Meillassoux,1441173838,72701,Continuum,2010-01-05,Book,ABIS_BOOK,English,1995,$19.95,USD,24,160,1441173838,http://ecx.images-amazon.com/images/I/51m6FNHPwqL._SL75_.jpg,false,,2,"<[1.262646E12, 1.262646E12]>"
n-75a7689e4b581975bbea93fd10b34439,"New Materialisms: Ontology, Agency, and Politics by Diana Coole,Samantha Frost (eds)","New Materialisms: Ontology, Agency, and Politics","Diana Coole,Samantha Frost (eds)",0822347725,195917,Duke University Press Books,2010-09-09,Book,ABIS_BOOK,English,2495,$24.95,USD,10,352,0822347725,http://ecx.images-amazon.com/images/I/51Np6lje%2ByL._SL75_.jpg,,,2,"<[1.2839832E12, 1.2839832E12]>"
n-1c72060e12835f4ce5eadfeb8c06e70b,"Vampyroteuthis Infernalis: A Treatise, with a Report by the Institut Scientifique de Recherche Paranaturaliste (Posthumanities) by Vilem Flusser, Louis Bec","Vampyroteuthis Infernalis: A Treatise, with a Report by the Institut Scientifique de Recherche Paranaturaliste (Posthumanities)","Vilem Flusser, Louis Bec",0816678227,82870,Univ Of Minnesota Press,2012-09-06,Book,ABIS_BOOK,English,1950,$19.50,USD,12,112,0816678227,http://ecx.images-amazon.com/images/I/51DDsxFTRpL._SL75_.jpg,,,2,"<[1.3468824E12, 1.3468824E12]>"
n-6e54ed3b54a56c596b59c98069e11a23,We Have Never Been Modern by Bruno Latour,We Have Never Been Modern,Bruno Latour,0674948394,29870,Harvard University Press,1993-10-15,Book,ABIS_BOOK,English,2700,$27.00,USD,27,168,0674948394,http://ecx.images-amazon.com/images/I/41V330QQZTL._SL75_.jpg,false,,2,"<[7.506396E11, 7.506396E11]>"
n-e0224475f6ebe76041f45575d29bccca,How to Do Things with Videogames (Electronic Mediations) by Ian Bogost,How to Do Things with Videogames (Electronic Mediations),Ian Bogost,081667647X,30107,Univ Of Minnesota Press,2011-08-05,Book,ABIS_BOOK,English,1895,$18.95,USD,26,192,081667647X,http://ecx.images-amazon.com/images/I/51BMqdlxCtL._SL75_.jpg,false,,2,"<[1.3124952E12, 1.3124952E12]>"
